日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260131.0,1301.0,極洋,プライム（内国株式）,50.0,水産・農林業,1.0,食品,6.0,TOPIX Small 1
20260131.0,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,3250.0,医薬品,5.0,医薬品,-,-
20260131.0,131A,ＣＣＮグループ,PRO Market,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,132A,アイエヌホールディングス,PRO Market,5050.0,陸運業,12.0,運輸・物流,-,-
20260131.0,1332.0,ニッスイ,プライム（内国株式）,50.0,水産・農林業,1.0,食品,4.0,TOPIX Mid400
20260131.0,1333.0,マルハニチロ,プライム（内国株式）,50.0,水産・農林業,1.0,食品,4.0,TOPIX Mid400
20260131.0,134A,アプライズ,PRO Market,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,136A,三興商事,PRO Market,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1375.0,ユキグニファクトリー,プライム（内国株式）,50.0,水産・農林業,1.0,食品,7.0,TOPIX Small 2
20260131.0,1376.0,カネコ種苗,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,7.0,TOPIX Small 2
20260131.0,1377.0,サカタのタネ,プライム（内国株式）,50.0,水産・農林業,1.0,食品,6.0,TOPIX Small 1
20260131.0,1379.0,ホクト,プライム（内国株式）,50.0,水産・農林業,1.0,食品,7.0,TOPIX Small 2
20260131.0,137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,1380.0,秋川牧園,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,-,-
20260131.0,1381.0,アクシーズ,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,-,-
20260131.0,1382.0,ホーブ,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,-,-
20260131.0,1383.0,ベルグアース,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,-,-
20260131.0,1384.0,ホクリヨウ,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,-,-
20260131.0,138A,光フードサービス,グロース（内国株式）,6100.0,小売業,14.0,小売,-,-
20260131.0,139A,東日本地所,PRO Market,8050.0,不動産業,17.0,不動産,-,-
20260131.0,1401.0,エムビーエス,グロース（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1407.0,ウエストホールディングス,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1414.0,ショーボンドホールディングス,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1417.0,ミライト・ワン,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1418.0,インターライフホールディングス,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1419.0,タマホーム,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,141A,トライアルホールディングス,グロース（内国株式）,6100.0,小売業,14.0,小売,-,-
20260131.0,1420.0,サンヨーホームズ,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1429.0,日本アクア,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,142A,ジンジブ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1430.0,ファーストコーポレーション,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1431.0,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1432.0,動力,PRO Market,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1433.0,ベステラ,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1434.0,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1435.0,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,8050.0,不動産業,17.0,不動産,7.0,TOPIX Small 2
20260131.0,1436.0,グリーンエナジー＆カンパニー,グロース（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1438.0,岐阜造園,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,143A,イシン,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1443.0,技研ホールディングス,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1444.0,ニッソウ,グロース（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1445.0,ひかりホールディングス,PRO Market,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1446.0,キャンディル,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1447.0,ＳＡＡＦホールディングス,グロース（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,144A,エネルギーパワー,PRO Market,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1450.0,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1452.0,横浜ライト工業,PRO Market,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,146A,コロンビア・ワークス,スタンダード（内国株式）,8050.0,不動産業,17.0,不動産,-,-
20260131.0,147A,ソラコム,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,148A,ハッチ・ワーク,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,1491.0,中外鉱業,スタンダード（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,149A,シンカ,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,150A,ＪＳＨ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1514.0,住石ホールディングス,スタンダード（内国株式）,1050.0,鉱業,2.0,エネルギー資源,7.0,TOPIX Small 2
20260131.0,1515.0,日鉄鉱業,プライム（内国株式）,1050.0,鉱業,2.0,エネルギー資源,6.0,TOPIX Small 1
20260131.0,1518.0,三井松島ホールディングス,プライム（内国株式）,3800.0,その他製品,10.0,情報通信・サービスその他,6.0,TOPIX Small 1
20260131.0,151A,ダイブ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,152A,オプティ,PRO Market,6050.0,卸売業,13.0,商社・卸売,-,-
20260131.0,153A,カウリス,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,154A,ＧＡＩＡ,PRO Market,7200.0,その他金融業,16.0,金融（除く銀行）,-,-
20260131.0,155A,情報戦略テクノロジー,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,156A,マテリアルグループ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,157A,グリーンモンスター,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,158A,エクセリ,PRO Market,6100.0,小売業,14.0,小売,-,-
20260131.0,1605.0,ＩＮＰＥＸ,プライム（内国株式）,1050.0,鉱業,2.0,エネルギー資源,4.0,TOPIX Mid400
20260131.0,160A,アズパートナーズ,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,161A,三葉,PRO Market,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,164A,アップルパーク,PRO Market,8050.0,不動産業,17.0,不動産,-,-
20260131.0,1662.0,石油資源開発,プライム（内国株式）,1050.0,鉱業,2.0,エネルギー資源,6.0,TOPIX Small 1
20260131.0,1663.0,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,1050.0,鉱業,2.0,エネルギー資源,6.0,TOPIX Small 1
20260131.0,166A,タスキホールディングス,グロース（内国株式）,8050.0,不動産業,17.0,不動産,-,-
20260131.0,167A,リョーサン菱洋ホールディングス,プライム（内国株式）,6050.0,卸売業,13.0,商社・卸売,6.0,TOPIX Small 1
20260131.0,168A,イタミアート,グロース（内国株式）,3800.0,その他製品,10.0,情報通信・サービスその他,-,-
20260131.0,1711.0,ＳＤＳホールディングス,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1716.0,第一カッター興業,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1717.0,明豊ファシリティワークス,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1718.0,美樹工業,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1719.0,安藤・間,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,171A,ゼロジャパン,PRO Market,6050.0,卸売業,13.0,商社・卸売,-,-
20260131.0,1720.0,東急建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1721.0,コムシスホールディングス,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1723.0,日本電技,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1724.0,シンクレイヤ,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1726.0,ビーアールホールディングス,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,172A,ネオホーム,PRO Market,8050.0,不動産業,17.0,不動産,-,-
20260131.0,1736.0,オーテック,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,173A,ハンモック,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,1758.0,太洋基礎工業,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,175A,Ｗｉｌｌ　Ｓｍａｒｔ,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,1762.0,高松コンストラクショングループ,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1764.0,工藤建設,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1766.0,東建コーポレーション,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1768.0,ソネック,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1770.0,藤田エンジニアリング,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1773.0,ワイ・ティー・エル・コーポレーション・バーハッド,プライム（外国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1776.0,三井住建道路,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,177A,コージンバイオ,グロース（内国株式）,3200.0,化学,4.0,素材・化学,-,-
20260131.0,1780.0,ヤマウラ,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1783.0,ｆａｎｔａｓｉｓｔａ,スタンダード（内国株式）,8050.0,不動産業,17.0,不動産,-,-
20260131.0,1786.0,オリエンタル白石,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1787.0,ナカボーテック,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1788.0,三東工業社,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1793.0,大本組,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1795.0,マサル,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1798.0,守谷商会,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1799.0,第一建設工業,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1801.0,大成建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1802.0,大林組,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1803.0,清水建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1807.0,佐藤渡辺,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1808.0,長谷工コーポレーション,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1810.0,松井建設,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1811.0,錢高組,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1812.0,鹿島建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1813.0,不動テトラ,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1814.0,大末建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1815.0,鉄建建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1820.0,西松建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1822.0,大豊建設,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1826.0,佐田建設,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1827.0,ナカノフドー建設,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1828.0,田辺工業,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1833.0,奥村組,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1835.0,東鉄工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1840.0,土屋ホールディングス,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1841.0,サンユー建設,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1844.0,大盛工業,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1847.0,イチケン,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1848.0,富士ピー・エス,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,184A,学びエイド,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,1850.0,南海辰村建設,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1852.0,淺沼組,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1853.0,森組,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,185A,リサイクルテック・ジャパン,PRO Market,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1860.0,戸田建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1861.0,熊谷組,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1866.0,北野建設,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1867.0,植木組,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,186A,アストロスケールホールディングス,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1870.0,矢作建設工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1871.0,ピーエス・コンストラクション,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1873.0,日本ハウスホールディングス,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1878.0,大東建託,プライム（内国株式）,8050.0,不動産業,17.0,不動産,4.0,TOPIX Mid400
20260131.0,1879.0,新日本建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1882.0,東亜道路工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1885.0,東亜建設工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1887.0,日本国土開発,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1888.0,若築建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1893.0,五洋建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1897.0,金下建設,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1898.0,世紀東急工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1899.0,福田組,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,189A,Ｄ＆Ｍカンパニー,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1904.0,大成温調,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1905.0,テノックス,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1909.0,日本ドライケミカル,スタンダード（内国株式）,3600.0,機械,8.0,機械,-,-
20260131.0,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,グロース（内国株式）,3250.0,医薬品,5.0,医薬品,-,-
20260131.0,1911.0,住友林業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1914.0,日本基礎技術,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,191A,ミモザ,PRO Market,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1921.0,巴コーポレーション,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1925.0,大和ハウス工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,2.0,TOPIX Large70
20260131.0,1926.0,ライト工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1928.0,積水ハウス,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,2.0,TOPIX Large70
20260131.0,1929.0,日特建設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,192A,インテグループ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1930.0,北陸電気工事,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1934.0,ユアテック,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1938.0,日本リーテック,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1939.0,四電工,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1941.0,中電工,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1942.0,関電工,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1944.0,きんでん,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1945.0,東京エネシス,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1946.0,トーエネック,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1948.0,弘電社,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1949.0,住友電設,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,194A,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1950.0,日本電設工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1951.0,エクシオグループ,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1952.0,新日本空調,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1959.0,クラフティア,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1960.0,サンテック,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1961.0,三機工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1963.0,日揮ホールディングス,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1964.0,中外炉工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1965.0,テクノ菱和,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1966.0,高田工業所,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1967.0,ヤマト,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1968.0,太平電業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1969.0,高砂熱学工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,196A,ＭＦＳ,グロース（内国株式）,7200.0,その他金融業,16.0,金融（除く銀行）,-,-
20260131.0,1972.0,三晃金属工業,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1975.0,朝日工業社,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1976.0,明星工業,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,1979.0,大氣社,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,197A,タウンズ,スタンダード（内国株式）,3250.0,医薬品,5.0,医薬品,-,-
20260131.0,1980.0,ダイダン,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,1981.0,協和日成,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1982.0,日比谷総合設備,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,7.0,TOPIX Small 2
20260131.0,198A,ＰｏｓｔＰｒｉｍｅ,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,1992.0,神田通信機,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1994.0,高橋カーテンウォール工業,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1997.0,暁飯島工業,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,199A,メディエア,PRO Market,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,2001.0,ニップン,プライム（内国株式）,3050.0,食料品,1.0,食品,6.0,TOPIX Small 1
20260131.0,2002.0,日清製粉グループ本社,プライム（内国株式）,3050.0,食料品,1.0,食品,4.0,TOPIX Mid400
20260131.0,2003.0,日東富士製粉,スタンダード（内国株式）,3050.0,食料品,1.0,食品,7.0,TOPIX Small 2
20260131.0,2004.0,昭和産業,プライム（内国株式）,3050.0,食料品,1.0,食品,7.0,TOPIX Small 2
20260131.0,2009.0,鳥越製粉,スタンダード（内国株式）,3050.0,食料品,1.0,食品,-,-
20260131.0,202A,豆蔵,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,203A,シュンビン,PRO Market,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,204A,タイヨーパッケージ,PRO Market,3150.0,パルプ・紙,4.0,素材・化学,-,-
20260131.0,2053.0,中部飼料,プライム（内国株式）,3050.0,食料品,1.0,食品,7.0,TOPIX Small 2
20260131.0,2055.0,日和産業,スタンダード（内国株式）,3050.0,食料品,1.0,食品,-,-
20260131.0,205A,ロゴスホールディングス,グロース（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,2060.0,フィード・ワン,プライム（内国株式）,3050.0,食料品,1.0,食品,7.0,TOPIX Small 2
20260131.0,206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,グロース（内国株式）,3250.0,医薬品,5.0,医薬品,-,-
20260131.0,207A,ライジングコーポレーション,PRO Market,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,208A,構造計画研究所ホールディングス,スタンダード（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,209A,小野谷機工,PRO Market,3600.0,機械,8.0,機械,-,-
20260131.0,2108.0,日本甜菜製糖,プライム（内国株式）,3050.0,食料品,1.0,食品,7.0,TOPIX Small 2
20260131.0,2109.0,ＤＭ三井製糖,プライム（内国株式）,3050.0,食料品,1.0,食品,6.0,TOPIX Small 1
20260131.0,2112.0,塩水港精糖,スタンダード（内国株式）,3050.0,食料品,1.0,食品,-,-
20260131.0,2114.0,フジ日本,スタンダード（内国株式）,3050.0,食料品,1.0,食品,-,-
20260131.0,2117.0,ウェルネオシュガー,プライム（内国株式）,3050.0,食料品,1.0,食品,7.0,TOPIX Small 2
20260131.0,211A,カドス・コーポレーション,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,2120.0,ＬＩＦＵＬＬ,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,7.0,TOPIX Small 2
20260131.0,2121.0,ＭＩＸＩ,プライム（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,6.0,TOPIX Small 1
20260131.0,2122.0,インタースペース,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,2124.0,ジェイエイシーリクルートメント,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,6.0,TOPIX Small 1
20260131.0,2127.0,日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,4.0,TOPIX Mid400
20260131.0,212A,フィットイージー,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,7.0,TOPIX Small 2
20260131.0,2130.0,メンバーズ,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,7.0,TOPIX Small 2
20260131.0,2134.0,北浜キャピタルパートナーズ,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,2136.0,ヒップ,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,2138.0,クルーズ,スタンダード（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
